
Avg Time in [634] Ticks:, Mac TC:,76.0 us
, Encode :,15.0 us
, Mac NTC :,22.0 us
, MAC_TC+Encode EL:,91.0 us

IDLE CPU-L Info >> , CPU#0 : ,91 %
, CPU#1 : ,96  %
, CPU#2 : ,88 %
, CPU#3 : ,95 %


Tick, SFN,  SF ,MAC TC(Diff in us),  Enocde(Diff in us),  MAC_NTC(Diff in us)
3366 ,336,6,76.49,13.1200000001,18.75
3367 ,336,7,76.59,12.76,18.33
3368 ,336,8,75.75,12.3,17.94
3369 ,336,9,77.28,14.98,17.16
3370 ,337,0,77.54,15.2,19.27
3371 ,337,1,74.31,12.34,18.13
3372 ,337,2,76.66,16.15,17.16
3373 ,337,3,74.45,12.92,18.0
3374 ,337,4,75.23,12.6,17.84
3375 ,337,5,75.1,11.78,18.55
3376 ,337,6,85.13,36.56,40.04
3377 ,337,7,75.13,12.93,18.01
3378 ,337,8,74.41,12.15,17.48
3379 ,337,9,75.36,12.95,18.17
3380 ,338,0,74.81,11.89,18.03
3381 ,338,1,76.01,14.64,17.15
3382 ,338,2,75.52,14.59,17.58
3383 ,338,3,74.81,12.15,17.77
3384 ,338,4,75.85,13.08,18.1
3385 ,338,5,82.45,25.98,46.33
3386 ,338,6,74.96,13.93,17.75
3387 ,338,7,77.61,13.15,18.91
3388 ,338,8,75.92,13.48,18.13
3389 ,338,9,74.06,12.93,17.83
3390 ,339,0,75.0,13.51,18.16
3391 ,339,1,75.32,12.14,18.79
3392 ,339,2,73.5,12.44,17.91
3393 ,339,3,72.63,12.46,18.42
3394 ,339,4,74.31,11.75,17.94
3395 ,339,5,75.78,12.6,18.33
3396 ,339,6,85.84,36.94,38.67
3397 ,339,7,77.09,15.17,17.54
3398 ,339,8,72.75,11.98,17.12
3399 ,339,9,75.49,12.24,17.74
3400 ,340,0,72.0,23.05,45.19
3401 ,340,1,73.7,13.38,17.74
3402 ,340,2,73.83,13.48,17.97
3403 ,340,3,75.1,12.24,17.28
3404 ,340,4,73.66,12.17,17.84
3405 ,340,5,81.96,24.55,44.5
3406 ,340,6,74.8,13.28,18.23
3407 ,340,7,75.68,13.08,18.36
3408 ,340,8,73.95,13.9300000001,18.3
3409 ,340,9,75.95,13.31,17.71
3410 ,341,0,75.06,15.04,18.17
3411 ,341,1,74.29,12.99,17.83
3412 ,341,2,73.8,11.62,17.94
3413 ,341,3,79.59,32.97,38.25
3414 ,341,4,73.63,12.59,18.1
3415 ,341,5,74.74,12.73,18.92
3416 ,341,6,84.47,36.68,39.52
3417 ,341,7,75.56,12.64,18.75
3418 ,341,8,74.22,12.76,17.74
3419 ,341,9,76.82,14.98,19.05
3420 ,342,0,75.26,11.88,17.71
3421 ,342,1,74.0,13.15,17.41
3422 ,342,2,73.37,11.92,18.07
3423 ,342,3,74.77,11.95,17.54
3424 ,342,4,74.61,11.75,17.45
3425 ,342,5,85.12,24.81,44.37
3426 ,342,6,75.39,13.6,18.39
3427 ,342,7,74.94,12.89,18.62
3428 ,342,8,73.38,12.67,18.42
3429 ,342,9,75.82,12.24,18.32
3430 ,343,0,76.43,14.98,18.81
3431 ,343,1,76.53,15.43,17.87
3432 ,343,2,73.8,13.21,18.0
3433 ,343,3,72.69,12.86,18.42
3434 ,343,4,74.35,12.3,17.9
3435 ,343,5,75.85,12.33,18.65
3436 ,343,6,85.38,36.3,39.23
3437 ,343,7,76.92,12.43,18.36
3438 ,343,8,77.01,14.94,18.72
3439 ,343,9,73.73,12.37,18.2
3440 ,344,0,74.05,22.69,42.88
3441 ,344,1,75.69,13.51,18.65
3442 ,344,2,74.41,13.51,18.29
3443 ,344,3,72.95,13.02,17.74
3444 ,344,4,73.6,13.05,18.16
3445 ,344,5,81.93,24.71,44.7
3446 ,344,6,76.37,14.19,18.26
3447 ,344,7,75.39,13.28,19.47
3448 ,344,8,75.0,13.21,18.4
3449 ,344,9,77.41,15.72,19.21
3450 ,345,0,77.14,15.04,18.95
3451 ,345,1,73.86,12.66,18.16
3452 ,345,2,72.75,12.46,18.1
3453 ,345,3,74.7,12.01,18.0
3454 ,345,4,73.77,12.01,18.35
3455 ,345,5,76.89,12.37,18.1
3456 ,345,6,86.1,38.54,40.88
3457 ,345,7,75.55,12.6,18.2
3458 ,345,8,74.45,12.59,17.8
3459 ,345,9,81.44,11.97,17.58
3460 ,346,0,77.34,11.88,17.94
3461 ,346,1,73.96,12.01,18.36
3462 ,346,2,74.71,12.11,17.61
3463 ,346,3,75.42,15.2,18.49
3464 ,346,4,76.3,15.1,17.58
3465 ,346,5,86.59,24.32,44.56
3466 ,346,6,75.52,14.13,18.62
3467 ,346,7,75.62,13.77,18.78
3468 ,346,8,74.35,13.28,18.36
3469 ,346,9,73.67,13.28,17.8700000001
3470 ,347,0,75.45,13.83,18.3
3471 ,347,1,75.53,15.17,18.48
3472 ,347,2,74.97,13.28,17.25
3473 ,347,3,76.27,15.53,18.52
3474 ,347,4,75.17,11.89,17.7
3475 ,347,5,75.2,11.75,18.61
3476 ,347,6,85.3199999999,36.62,39.03
3477 ,347,7,82.71,33.99,39.03
3478 ,347,8,75.81,12.73,17.84
3479 ,347,9,74.03,13.28,18.39
3480 ,348,0,74.05,23.18,44.44
3481 ,348,1,72.82,14.03,17.48
3482 ,348,2,73.8,13.5699999999,17.67
3483 ,348,3,75.36,12.11,17.48
3484 ,348,4,74.52,12.17,18.39
3485 ,348,5,83.53,24.8,40.89
3486 ,348,6,75.71,13.96,18.0
3487 ,348,7,75.52,13.15,18.33
3488 ,348,8,74.48,12.24,17.74
3489 ,348,9,76.23,11.85,18.1299999999
3490 ,349,0,74.74,11.94,17.68
3491 ,349,1,74.38,12.14,17.61
3492 ,349,2,74.91,12.17,17.9
3493 ,349,3,73.34,12.21,17.35
3494 ,349,4,74.87,11.72,17.64
3495 ,349,5,76.43,11.72,18.69
3496 ,349,6,85.22,38.87,41.74
3497 ,349,7,76.43,12.44,17.8
3498 ,349,8,74.78,11.95,18.03
3499 ,349,9,74.09,12.7,17.58
3500 ,350,0,74.22,11.9400000001,18.42
3501 ,350,1,74.71,12.04,18.13
3502 ,350,2,75.88,15.52,18.29
3503 ,350,3,75.26,14.75,18.13
3504 ,350,4,73.64,11.75,17.41
3505 ,350,5,83.46,24.22,43.2000000001
3506 ,350,6,75.0900000001,13.74,18.4299999999
3507 ,350,7,75.52,12.4,17.74
3508 ,350,8,75.0599999999,12.4,18.2
3509 ,350,9,75.13,12.1800000001,17.42
3510 ,351,0,75.03,12.0800000001,18.0700000001
3511 ,351,1,74.0199999999,12.3300000001,17.3500000001
3512 ,351,2,73.14,12.47,18.3
3513 ,351,3,75.42,12.8199999999,18.6599999999
3514 ,351,4,75.7100000001,11.9399999999,18.1
3515 ,351,5,76.08,13.38,18.23
3516 ,351,6,85.22,38.9,42.4399999999
3517 ,351,7,77.9299999999,15.6899999999,18.92
3518 ,351,8,73.1699999999,12.04,17.3200000001
3519 ,351,9,74.25,12.9900000001,18.3
3520 ,352,0,84.12,26.66,43.6800000001
3521 ,352,1,75.6800000001,13.54,17.38
3522 ,352,2,74.61,13.2799999999,18.16
3523 ,352,3,74.6399999999,12.66,17.9400000001
3524 ,352,4,74.6000000001,12.14,18.0399999999
3525 ,352,5,82.03,24.02,43.39
3526 ,352,6,75.36,16.0900000001,22.01
3527 ,352,7,76.47,13.51,17.87
3528 ,352,8,75.1000000001,12.37,17.5399999999
3529 ,352,9,73.77,12.7,17.6699999999
3530 ,353,0,75.2000000001,12.21,17.8999999999
3531 ,353,1,76.99,15.2400000001,17.97
3532 ,353,2,74.6100000001,12.17,18.4199999999
3533 ,353,3,74.58,12.8899999999,18.62
3534 ,353,4,74.61,12.14,17.1799999999
3535 ,353,5,74.8300000001,12.6,18.62
